,date_time,street_name
0,2017-01-01 00:01:00,8300 CAM DEL ORO  
1,2017-01-01 00:01:00,6400 CRAWFORD STREET
2,2017-01-01 00:01:00,8100 ROYAL GORGE DRIVE
3,2017-01-01 00:01:00,5500 VALERIO TRAIL
4,2017-01-01 01:00:00,1000 11TH AVENUE
5,2017-01-01 01:00:00,1000 A STREET
6,2017-01-01 01:18:00,2600 RAMFOS PLACE
7,2017-01-01 01:53:00,3900 DE LA VALLE  
8,2017-01-01 01:58:00,9100 SYDNEY COURT
9,2017-01-01 02:00:00,1600 HORNBLEND STREET
10,2017-01-01 02:00:00,900 EMERALD STREET
11,2017-01-01 02:03:00,0 IMPERIAL AVENUE
12,2017-01-01 04:10:00,2900 LAUREL STREET
13,2017-01-01 04:43:00,10000 BLACK MTN ROAD
14,2017-01-01 05:26:00,5800 UNIVERSITY AVENUE
15,2017-01-01 06:56:00,6900 MIRAMAR ROAD
16,2017-01-01 11:25:00,2500 INGRAHAM STREET
17,2017-01-01 11:37:00,2400 MISSION BAY DRIVE
18,2017-01-01 12:30:00,2800 EL CAJON BOULEVARD
19,2017-01-01 13:00:00,3200 ASHFORD STREET
20,2017-01-01 13:03:00,1100 GARNET AVENUE
21,2017-01-01 13:16:00,4300 EL CAJON BOULEVARD
22,2017-01-01 15:30:00,2800 IMPERIAL AVENUE
23,2017-01-01 15:30:00,5100 MISSION CENTER ROAD
24,2017-01-01 16:40:00,10400 SAN DIEGO MISSION ROAD
25,2017-01-01 18:07:00,3700 SPORTS ARENA BOULEVARD
26,2017-01-01 19:30:00,100 WASHINGTON STREET
27,2017-01-01 19:45:00,5800 EL CAJON BOULEVARD
28,2017-01-01 20:36:00,700 08TH AVENUE
29,2017-01-01 22:15:00,3400 COLLEGE AVENUE
30,2017-01-02 00:01:00,1700 39TH STREET
31,2017-01-02 04:50:00,5600 COLLEGE AVENUE
32,2017-01-02 04:52:00,6600 OSLER STREET
33,2017-01-02 07:00:00,100 PARK BOULEVARD
34,2017-01-02 08:14:00,3100 55TH STREET
35,2017-01-02 08:20:00,100 CENTER STREET
36,2017-01-02 11:10:00,8500 TED WILLIAMS PARKWAY
37,2017-01-02 14:10:00,500 ROBINSON AVENUE
38,2017-01-02 14:10:00,1900 PALM AVENUE
39,2017-01-02 14:25:00,11900 CONFERENCE WAY
40,2017-01-02 15:00:00,9200 HILLERY DRIVE
41,2017-01-02 15:41:00,6500 MONTEZUMA ROAD
42,2017-01-02 16:00:00,5200 GENESEE COVE
43,2017-01-02 18:25:00,7700 MIRA MESA BOULEVARD
44,2017-01-02 18:26:00,9900 MERCY ROAD
45,2017-01-02 18:45:00,11600 RANCHO BERNARDO ROAD
46,2017-01-02 18:45:00,6900 LINDA VISTA ROAD
47,2017-01-03 00:01:00,17900 SAN DIEGUITO ROAD
48,2017-01-03 00:01:00,9100 TOWNE CENTRE DRIVE
49,2017-01-03 00:02:00,2900 LINCOLN AVENUE
50,2017-01-03 00:02:00,3300 LINCOLN AVENUE
51,2017-01-03 03:20:00,6900 ALVARADO ROAD
52,2017-01-03 04:30:00,10200 BLACK MTN ROAD
53,2017-01-03 07:35:00,0 BALBOA AVENUE
54,2017-01-03 09:00:00,2200 RIVER RUN DRIVE
55,2017-01-03 09:26:00,7300 CLAIREMONT MESA BOULEVARD
56,2017-01-03 10:30:00,3400 DEL MAR HEIGHTS ROAD
57,2017-01-03 11:39:00,2700 K STREET
58,2017-01-03 12:30:00,3800 VALLEY CENTRE DRIVE
59,2017-01-03 13:40:00,8900 ACTIVITY ROAD
60,2017-01-03 13:49:00,8500 RIO SAN DIEGO DRIVE
61,2017-01-03 14:15:00,0 OCEAN VIEW  
62,2017-01-03 14:30:00,200 SAN JACINTO DRIVE
63,2017-01-03 14:43:00,5500 MONTEZUMA ROAD
64,2017-01-03 17:00:00,8600 MIRAMAR ROAD
65,2017-01-03 17:00:00,2600 MARKET STREET
66,2017-01-03 17:15:00,5800 FAIRMOUNT AVENUE
67,2017-01-03 18:42:00,0 KIKA COURT
68,2017-01-03 19:39:00,1900 MADISON AVENUE
69,2017-01-03 19:40:00,1600 GARNET AVENUE
70,2017-01-03 21:34:00,100 MARKET STREET
71,2017-01-03 22:36:00,500 33RD STREET
72,2017-01-04 00:01:00,3900 HEMLOCK STREET
73,2017-01-04 02:37:00,1200 PICCARD AVENUE
74,2017-01-04 06:45:00,8000 PORT ROYALE DRIVE
75,2017-01-04 08:04:00,7300 PARADISE VALLEY ROAD
76,2017-01-04 08:07:00,1700 GARNET AVENUE
77,2017-01-04 08:09:00,1300 MORENA BOULEVARD
78,2017-01-04 09:00:00,3900 30TH STREET
79,2017-01-04 09:02:00,3900 05TH AVENUE
80,2017-01-04 10:30:00,500 GRAPE STREET
81,2017-01-04 10:50:00,0 70TH STREET
82,2017-01-04 13:20:00,3400 COLLEGE AVENUE
83,2017-01-04 14:14:00,7100 FULTON STREET
84,2017-01-04 15:30:00,1400 CAM DE LA REINA  
85,2017-01-04 15:30:00,11500 RANCHO BERNARDO ROAD
86,2017-01-04 15:45:00,12000 WORLD TRADE DRIVE
87,2017-01-04 16:20:00,4700 ROLANDO BOULEVARD
88,2017-01-04 17:10:00,3500 RUFFIN ROAD
89,2017-01-04 17:15:00,1300 MISSOURI STREET
90,2017-01-04 17:20:00,500 PALOMAR AVENUE
91,2017-01-04 17:30:00,2500 TORREY PINES ROAD
92,2017-01-04 17:31:00,10700 VISTA SORRENTO PARKWAY
93,2017-01-04 18:28:00,0  I-15 NB  
94,2017-01-04 20:00:00,6700 EL CAJON BOULEVARD
95,2017-01-04 20:53:00,0 CHAMOUNE AVENUE
96,2017-01-04 20:54:00,4800 CASTLE AVENUE
97,2017-01-04 20:57:00,3100 MISSION VILLAGE DRIVE
98,2017-01-04 20:58:00,0 WIGHTMAN STREET
99,2017-01-04 22:07:00,2100 ALTA VIEW DRIVE
100,2017-01-05 00:01:00,2900 LLOYD STREET
101,2017-01-05 03:11:00,3500 INDIA STREET
102,2017-01-05 07:30:00,6900 PARADISE VALLEY ROAD
103,2017-01-05 07:50:00,2800 MAIN STREET
104,2017-01-05 08:30:00,3800 SORRENTO VALLEY BOULEVARD
105,2017-01-05 08:48:00,7400 MIRAMAR  
106,2017-01-05 09:00:00,14100 CUCA STREET
107,2017-01-05 09:38:00,100 ASH STREET
108,2017-01-05 09:55:00,500 32ND STREET
109,2017-01-05 10:43:00,9900 AVIARY DRIVE
110,2017-01-05 10:46:00,4800 CLAIREMONT DRIVE
111,2017-01-05 11:00:00,9800 MIRA MESA BOULEVARD
112,2017-01-05 11:00:00,3900 09TH AVENUE
113,2017-01-05 11:20:00,11500 CARMEL MTN ROAD
114,2017-01-05 11:27:00,5700 CARMEL VALLEY ROAD
115,2017-01-05 12:30:00,2000 CAM DEL RIO  
116,2017-01-05 12:55:00,2300 EBERS STREET
117,2017-01-05 13:25:00,8400 KEARNY VILLA ROAD
118,2017-01-05 14:19:00,1200 UNIVERSITY AVENUE
119,2017-01-05 15:00:00,7800 OTHELLO AVENUE
120,2017-01-05 15:35:00,4300 53RD STREET
121,2017-01-05 15:40:00,4200 BACHMAN PLACE
122,2017-01-05 18:49:00,2500 IMPERIAL AVENUE
123,2017-01-05 18:57:00,3400 BALBOA AVENUE
124,2017-01-05 19:07:00,2800 TREAT STREET
125,2017-01-05 19:59:00,1900 BACON STREET
126,2017-01-05 20:30:00,12300 CREEKVIEW DRIVE
127,2017-01-05 20:52:00,100 PRIMERA  
128,2017-01-05 22:28:00,1300 SEAWORLD  
129,2017-01-06 00:01:00,3300 CLAIREMONT MESA BOULEVARD
130,2017-01-06 00:01:00,2800 CADIZ STREET
131,2017-01-06 00:01:00,11900 EL CAMINO REAL  
132,2017-01-06 01:46:00,600 36TH STREET
133,2017-01-06 02:00:00,0 MISSION VILLAGE DRIVE
134,2017-01-06 07:00:00,6100 MIRA MESA BOULEVARD
135,2017-01-06 07:00:00,6400 LA JOLLA BOULEVARD
136,2017-01-06 09:30:00,400 KALMIA STREET
137,2017-01-06 11:20:00,100 WASHINGTON STREET
138,2017-01-06 11:30:00,3800 MISSION BOULEVARD
139,2017-01-06 12:00:00,3900 CLEVELAND AVENUE
140,2017-01-06 12:00:00,11200 CAM RUIZ  
141,2017-01-06 12:50:00,2700 TORREY PINES ROAD
142,2017-01-06 13:20:00,8900 CAM SANTA FE  
143,2017-01-06 13:45:00,2100 54TH STREET
144,2017-01-06 13:53:00,12600 TORREY PINES ROAD
145,2017-01-06 14:00:00,8500 MISSION GORGE ROAD
146,2017-01-06 14:50:00,4500 COLLWOOD BOULEVARD
147,2017-01-06 15:00:00,2200 HOTEL CIRCLE
148,2017-01-06 15:03:00,2400 TORREY PINES ROAD
149,2017-01-06 15:34:00,0 I-5 SB  
150,2017-01-06 16:35:00,2100 STATION VILLAGE WAY
151,2017-01-06 16:45:00,4700 KENSINGTON DRIVE
152,2017-01-06 17:00:00,7000 FRIARS ROAD
