,street_name,average_total_count,collisions,lat,lng
52,A ST,136.09756097560975,57,32.718842,-117.16111
53,ABBOTT ST,913.8333333333335,19,32.750906,-117.250255
54,ABER ST,861.6666666666665,1,32.829296,-117.222969
55,ACACIA ST,876.5,3,32.688766,-117.112213
56,ACENA DR,709.75,1,33.01873,-117.071129
57,ACORN ST,1945.0,2,32.760559,-117.064087
58,ACTIVITY RD,1906.625,9,32.896696,-117.129233
59,ACWORTH AV,937.6,2,32.805157,-117.180847
60,ADAMS AV,149.51219512195118,93,32.76248,-117.143562
61,ADOBE FALLS RD,2268.0,10,32.783813,-117.085426
63,ADRIAN ST,1644.25,4,32.751901,-117.226268
64,AERO DR,607.390243902439,77,32.809653,-117.149089
65,AFTON RD,3233.0,2,32.804232,-117.144669
66,AIRWAY RD,328.2105263157895,7,32.56641,-117.017413
68,AKINS AV,1497.5,18,32.709846,-117.066681
69,ALABAMA ST,241.75,13,32.755338,-117.142519
70,ALBATROSS ST,2284.333333333333,7,32.740772,-117.165833
71,ALBION ST,2080.0,1,32.716213,-117.243172
72,ALCOTT ST,1000.0,2,32.740631,-117.223053
73,ALDINE DR,392.08333333333326,5,32.764412,-117.100052
74,ALLEGHANY ST,300.3636363636364,8,32.679947,-117.064957
76,ALMAZON ST,1335.0,2,32.995773,-117.091217
77,ALSACIA ST,360.0,7,32.68371,-117.038569
78,ALTA VIEW DR,494.9090909090909,27,32.678608,-117.034866
81,ALVARADO RD,659.6666666666666,33,32.7768,-117.067757
83,ANGELIQUE ST,381.33333333333326,2,32.931087,-117.072006
85,APPLETON ST,1065.2,4,32.836071,-117.200539
86,AQUARIUS DR,1117.5,5,32.930214,-117.139809
87,ARAGON DR,456.4,8,32.750267,-117.052017
88,ARBOR DR,3087.5,7,32.753788,-117.164124
89,ARDATH RD,619.5,1,32.84872,-117.24883
90,AREY DR,442.5,5,32.578753,-117.051696
91,ARIANE DR,923.6666666666665,3,32.827764,-117.226001
92,ARJONS DR,1629.0,2,32.894431,-117.148833
93,ARMOUR ST,1136.2,10,32.819988,-117.151969
94,ARMSTRONG ST,713.6,8,32.809774,-117.162302
95,ARRIBA ST,971.5714285714287,5,32.861827,-117.225184
96,ARRUZA ST,1075.6666666666667,3,32.571933,-117.057528
98,ASH ST,258.46153846153845,58,32.719898,-117.160195
99,ASHFORD ST,340.6842105263158,11,32.814515,-117.159936
101,ATHEY AV,1031.3333333333333,4,32.565552,-117.053576
103,AUBURNDALE ST,775.5,3,32.812033,-117.171436
105,AVATI DR,1294.0,1,32.817471,-117.215591
115,AVIARY DR,412.88888888888886,3,32.904564,-117.099083
117,AZUAGA ST,475.33333333333326,2,32.959676,-117.107329
119,B ST,303.60526315789474,59,32.71783,-117.153621
120,BACHMAN PL,938.0,11,32.756873,-117.164556
121,BACON ST,328.0833333333333,36,32.751408,-117.247147
122,BAJA DR,523.5,3,32.766762,-117.074707
124,BALBOA ARMS DR,1420.0,3,32.823117,-117.17921
125,BALBOA AV,314.47222222222223,286,32.807523,-117.212574
126,BALBOA DR,142.55555555555554,6,32.733082,-117.158221
127,BALTIC ST,1081.5,5,32.805748,-117.159087
131,BARNETT AV,2436.0,21,32.745262,-117.197843
132,BATISTA ST,1018.0,2,32.814808,-117.16374
133,BAYARD ST,1237.4,16,32.807384,-117.256393
136,BEAGLE ST,349.45454545454544,3,32.808096,-117.165761
137,BEAUMONT AV,100.0,3,32.812931,-117.265953
138,BEECH ST,446.75,22,32.720935,-117.160204
140,BERGER AV,1839.25,7,32.803295,-117.151955
141,BERNARDO CENTER DR,27534.0,75,33.008802,-117.088243
144,BERNARDO OAKS DR,154.72727272727272,4,33.019936,-117.064852
145,BERYL ST,1425.416666666667,14,32.807316,-117.238274
150,BILLMAN ST,3143.0,4,32.747845,-117.058868
152,BIRD ROCK AV,247.33333333333331,3,32.81538,-117.271606
154,BISBY LAKE AV,551.2,6,32.803247,-117.013677
155,BLACK MTN RD,140.14285714285714,123,32.985014,-117.131788
156,BLUE CYPRESS DR,668.1428571428571,1,32.92617,-117.077026
157,BLUFFSIDE AV,3799.666666666666,1,32.809212,-117.221184
159,BOOTES ST,2604.5,3,32.92276,-117.13179
160,BOULDER LAKE AV,328.25,1,32.800846,-117.017921
161,BOUNDARY ST,156.03846153846158,25,32.74824,-117.12305
162,BOYD AV,1140.0,2,32.810778,-117.177678
164,BRANDYWOOD ST,1266.0,1,32.699032,-117.050911
165,BRIARWOOD RD,736.3636363636364,17,32.68393,-117.033241
168,BROADWAY CR,888.2,3,39.78373,-100.445882
170,BROOKHAVEN RD,220.5,9,32.692936,-117.040833
171,BUENOS AV,1805.5,2,32.767887,-117.201408
