,street_name,average_total_count,collisions
52,A ST,136.09756097560975,57
53,ABBOTT ST,913.8333333333334,19
54,ABER ST,861.6666666666666,1
55,ACACIA ST,876.5,3
56,ACENA DR,709.75,1
57,ACORN ST,1945.0,2
58,ACTIVITY RD,1906.625,9
59,ACWORTH AV,937.6,2
60,ADAMS AV,149.5121951219512,93
61,ADOBE FALLS RD,2268.0,10
63,ADRIAN ST,1644.25,4
64,AERO DR,607.390243902439,77
65,AFTON RD,3233.0,2
66,AIRWAY RD,328.2105263157895,7
68,AKINS AV,1497.5,18
69,ALABAMA ST,241.75,13
70,ALBATROSS ST,2284.3333333333335,7
71,ALBION ST,2080.0,1
72,ALCOTT ST,1000.0,2
73,ALDINE DR,392.0833333333333,5
74,ALLEGHANY ST,300.3636363636364,8
76,ALMAZON ST,1335.0,2
77,ALSACIA ST,360.0,7
78,ALTA VIEW DR,494.90909090909093,27
81,ALVARADO RD,659.6666666666666,33
83,ANGELIQUE ST,381.3333333333333,2
85,APPLETON ST,1065.2,4
86,AQUARIUS DR,1117.5,5
87,ARAGON DR,456.4,8
88,ARBOR DR,3087.5,7
89,ARDATH RD,619.5,1
90,AREY DR,442.5,5
91,ARIANE DR,923.6666666666666,3
92,ARJONS DR,1629.0,2
93,ARMOUR ST,1136.2,10
94,ARMSTRONG ST,713.6,8
95,ARRIBA ST,971.5714285714286,5
96,ARRUZA ST,1075.6666666666667,3
98,ASH ST,258.46153846153845,58
99,ASHFORD ST,340.6842105263158,11
101,ATHEY AV,1031.3333333333333,4
103,AUBURNDALE ST,775.5,3
105,AVATI DR,1294.0,1
115,AVIARY DR,412.8888888888889,3
117,AZUAGA ST,475.3333333333333,2
119,B ST,303.60526315789474,59
120,BACHMAN PL,938.0,11
121,BACON ST,328.0833333333333,36
122,BAJA DR,523.5,3
124,BALBOA ARMS DR,1420.0,3
125,BALBOA AV,314.47222222222223,286
126,BALBOA DR,142.55555555555554,6
127,BALTIC ST,1081.5,5
131,BARNETT AV,2436.0,21
132,BATISTA ST,1018.0,2
133,BAYARD ST,1237.4,16
136,BEAGLE ST,349.45454545454544,3
137,BEAUMONT AV,100.0,3
138,BEECH ST,446.75,22
140,BERGER AV,1839.25,7
141,BERNARDO CENTER DR,27534.0,75
144,BERNARDO OAKS DR,154.72727272727272,4
145,BERYL ST,1425.4166666666667,14
150,BILLMAN ST,3143.0,4
152,BIRD ROCK AV,247.33333333333334,3
154,BISBY LAKE AV,551.2,6
155,BLACK MTN RD,140.14285714285714,123
156,BLUE CYPRESS DR,668.1428571428571,1
157,BLUFFSIDE AV,3799.6666666666665,1
159,BOOTES ST,2604.5,3
160,BOULDER LAKE AV,328.25,1
161,BOUNDARY ST,156.03846153846155,25
162,BOYD AV,1140.0,2
164,BRANDYWOOD ST,1266.0,1
165,BRIARWOOD RD,736.3636363636364,17
168,BROADWAY CR,888.2,3
170,BROOKHAVEN RD,220.5,9
171,BUENOS AV,1805.5,2
173,BUSINESSPARK AV,1508.4,1
174,C ST,141.72727272727272,41
175,CABLE ST,619.5,23
176,CABOT DR,738.0,3
178,CACTUS RD,434.3333333333333,1
179,CALIENTE AV,1420.6,5
180,CALLAN RD,1080.0,2
213,CAMPANILE DR,663.3,4
215,CAMPUS AV,477.6666666666667,2
217,CAMPUS POINT DR,1314.3333333333333,8
219,CAMULOS ST,1893.0,1
220,CANON ST,125.66666666666667,13
222,CARDENO DR,765.8571428571429,7
223,CARDIFF ST,860.0,18
224,CARDINAL DR,843.25,4
